id,code,name,parent_id:id,type,user_type:id,reconcile
lv_2012_account_7610,7610,"Iesaiņojamais materiāls, tara",lv_2012_account_7_6,other,account_type_2012_7,FALSE
lv_2012_account_7620,7620,Preču transporta izdevumi,lv_2012_account_7_6,other,account_type_2012_7,FALSE
lv_2012_account_7630,7630,Preču transporta apdrošināšana,lv_2012_account_7_6,other,account_type_2012_7,FALSE
lv_2012_account_7640,7640,Samaksātās komisijas naudas,lv_2012_account_7_6,other,account_type_2012_7,FALSE
lv_2012_account_7650,7650,Citi pārdošanas izdevumi,lv_2012_account_7_6,other,account_type_2012_7,FALSE
lv_2012_account_7_7,77,Administrācijas izdevumi,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7710,7710,Sakaru izdevumi,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7720,7720,Kantora (biroja) izdevumi,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7730,7730,Juristu pakalpojumu apmaksa,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7740,7740,Gada pārskata un revīzijas izdevumi,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7750,7750,Naudas apgrozījuma blakus izdevumi,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7760,7760,Transporta izdevumi administrācijas vajadzībām,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7770,7770,Citi vadīšanas un administrācijas izdevumi,lv_2012_account_7_7,other,account_type_2012_7,FALSE
lv_2012_account_7_8,78,Pārskata periodā iekļaujamie iepriekšējo periodu izdevumi,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7810,7810,Pārskata periodā iekļaujamie iepriekšējo periodu izdevumi,lv_2012_account_7_8,other,account_type_2012_7,FALSE
lv_2012_account_7_9,79,Sociālās infrastruktūras uzturēšanas izdevumi,lv_2012_account_7,view,account.data_account_type_view,FALSE
lv_2012_account_7910,7910,Dzīvokļu saimniecības izdevumi,lv_2012_account_7_9,other,account_type_2012_7,FALSE
lv_2012_account_7920,7920,Komunālās saimniecības izdevumi,lv_2012_account_7_9,other,account_type_2012_7,FALSE
lv_2012_account_7930,7930,Sadzīves pakalpojumu izdevumi,lv_2012_account_7_9,other,account_type_2012_7,FALSE
