"id","parent_id","active","name","code","account_type","reconcile","non_trade"
"l10n_mz_account_4671","l10n_mz_account_group_467","True","Borrowings from partners, shareholders or owners","4671","liability_payable","True",""
"l10n_mz_account_4673","l10n_mz_account_group_467","True","Distributed profits","4673","liability_payable","True",""
"l10n_mz_account_4674","l10n_mz_account_group_467","True","Available profits","4674","liability_payable","True",""
"l10n_mz_account_469","l10n_mz_account_group_46","True","Other creditors","469","liability_payable","True",""
"l10n_mz_account_471","l10n_mz_account_group_47","True","Accounts receivable adjustments - Trade receivables","471","asset_receivable","True",""
"l10n_mz_account_472","l10n_mz_account_group_47","True","Accounts receivable adjustments - Other receivables","472","asset_receivable","True",""
"l10n_mz_account_481","l10n_mz_account_group_48","True","Provisions - Outstanding legal matters","481","liability_non_current","True",""
"l10n_mz_account_482","l10n_mz_account_group_48","True","Provisions - Accidents at work and occupational diseases","482","liability_non_current","True",""
"l10n_mz_account_483","l10n_mz_account_group_48","True","Provisions - Taxes","483","liability_current","True",""
"l10n_mz_account_484","l10n_mz_account_group_48","True","Provisions - Business restructuring","484","liability_non_current","True",""
"l10n_mz_account_485","l10n_mz_account_group_48","True","Provisions - Onerous contracts","485","liability_non_current","True",""
"l10n_mz_account_486","l10n_mz_account_group_48","True","Provisions - Warranty obligations","486","liability_non_current","True",""
"l10n_mz_account_487","l10n_mz_account_group_48","True","Provisions - Losses on construction contracts","487","liability_current","True",""
"l10n_mz_account_489","l10n_mz_account_group_48","True","Provisions - Other","489","liability_non_current","True",""
"l10n_mz_account_4911","l10n_mz_account_group_491","True","Interest payable","4911","liability_payable","True",""
"l10n_mz_account_4912","l10n_mz_account_group_491","True","Remuneration payable","4912","liability_payable","True",""
"l10n_mz_account_4919","l10n_mz_account_group_491","True","Other accrued expenses","4919","liability_payable","True",""
"l10n_mz_account_4923","l10n_mz_account_group_492","True","Revenue from construction contracts","4923","liability_payable","True",""
"l10n_mz_account_4924","l10n_mz_account_group_492","True","Investment grants","4924","liability_payable","True",""
"l10n_mz_account_4929","l10n_mz_account_group_492","True","Other deferred income","4929","liability_payable","True",""
"l10n_mz_account_4931","l10n_mz_account_group_493","True","Interest receivable","4931","asset_receivable","True",""
"l10n_mz_account_4933","l10n_mz_account_group_493","True","Revenue from construction contracts","4933","asset_receivable","True",""
"l10n_mz_account_4939","l10n_mz_account_group_493","True","Other accrued income","4939","asset_receivable","True",""
"l10n_mz_account_494","l10n_mz_account_group_49","True","Deferred expenses","494","asset_receivable","True",""
"l10n_mz_account_51","l10n_mz_account_group_5","True","Share capital","51","equity","False",""
"l10n_mz_account_521","l10n_mz_account_group_52","True","Treasury shares - Nominal value","521","equity","False",""
"l10n_mz_account_522","l10n_mz_account_group_52","True","Treasury shares - Discounts and premiums","522","equity","False",""
"l10n_mz_account_53","l10n_mz_account_group_5","True","Supplementary capital","53","equity","False",""
"l10n_mz_account_54","l10n_mz_account_group_5","True","Share premium","54","equity","False",""
"l10n_mz_account_551","l10n_mz_account_group_55","True","Legal reserves","551","equity","False",""
"l10n_mz_account_552","l10n_mz_account_group_55","True","Statutory reserves","552","equity","False",""
"l10n_mz_account_553","l10n_mz_account_group_55","True","Free reserves","553","equity","False",""
"l10n_mz_account_561","l10n_mz_account_group_56","True","Legal revaluations","561","equity","False",""
"l10n_mz_account_562","l10n_mz_account_group_56","True","Other surplus","562","equity","False",""
"l10n_mz_account_58","l10n_mz_account_group_5","True","Other changes in equity","58","equity","False",""
"l10n_mz_account_6112","l10n_mz_account_group_611","True","Cost of Goods","6112","expense_direct_cost","False",""
"l10n_mz_account_61161","l10n_mz_account_group_6116","True","Cost of Raw materials","61161","expense_direct_cost","False",""
"l10n_mz_account_61162","l10n_mz_account_group_6116","True","Cost of Ancillary materials","61162","expense_direct_cost","False",""
"l10n_mz_account_61163","l10n_mz_account_group_6116","True","Cost of Other materials","61163","expense_direct_cost","False",""
"l10n_mz_account_6117","l10n_mz_account_group_611","True","Cost of Biological assets","6117","expense_direct_cost","False",""
"l10n_mz_account_6121","l10n_mz_account_group_612","True","Change in production - Finished and intermediate goods","6121","expense_direct_cost","False",""
"l10n_mz_account_6122","l10n_mz_account_group_612","True","Change in production - By-products, waste and scrap","6122","expense_direct_cost","False",""
"l10n_mz_account_6123","l10n_mz_account_group_612","True","Change in production - Work in progress","6123","expense_direct_cost","False",""
"l10n_mz_account_621","l10n_mz_account_group_62","True","Remuneration of corporate bodies","621","expense","False",""
